results/layerId,results/layerName,results/displayFieldName,results/value,results/attributes/OBJECTID,results/attributes/HES AdÄ±,results/attributes/Kurum,results/attributes/AÅŸamasÄ±(seÃ§),results/attributes/Akarsu AdÄ±,results/attributes/SHAPE,results/geometryType,results/geometry/x,results/geometry/y,results/geometry/spatialReference/wkid,results/geometry/spatialReference/latestWkid
25,Ä°ÅŸletme Durumuna GÃ¶re HES,HES_ADI,Uludere HES,327,Uludere HES,Ã–zel(Yap Ä°ÅŸlet Devret),Fizibilite,Ulu Dere,Point,esriGeometryPoint,40.916439338530814,39.23385161540261,4326,4326
25,Ä°ÅŸletme Durumuna GÃ¶re HES,HES_ADI,Demirkaya HES,266,Demirkaya HES,Kamu,"master plan, Ã¶ninceleme",KargaÃ‡.rÄ±,Point,esriGeometryPoint,41.02480231669231,40.4606456617517,4326,4326
25,Ä°ÅŸletme Durumuna GÃ¶re HES,HES_ADI,Hasansuyu HES,500,Hasansuyu HES,Ã–zel(Yap Ä°ÅŸlet),On_Basvuru,Null,Point,esriGeometryPoint,41.029243473224305,37.79002173512756,4326,4326
25,Ä°ÅŸletme Durumuna GÃ¶re HES,HES_ADI,YukarÄ± KalekÃ¶y HES,1346,YukarÄ± KalekÃ¶y HES,Kamu,2,Murat N.,Point,esriGeometryPoint,41.03485337389328,38.823566157549884,4326,4326
25,Ä°ÅŸletme Durumuna GÃ¶re HES,HES_ADI,GÃ¼ltepe HES,248,GÃ¼ltepe HES,Kamu,"master plan, Ã¶ninceleme",Tapsur,Point,esriGeometryPoint,41.04282836277352,40.57615852486862,4326,4326
25,Ä°ÅŸletme Durumuna GÃ¶re HES,HES_ADI,KayserÄ± Baraji Ve HES,501,KayserÄ± Baraji Ve HES,Ã–zel(Yap Ä°ÅŸlet),On_Basvuru,Null,Point,esriGeometryPoint,41.177783194278696,38.30976890010835,4326,4326
25,Ä°ÅŸletme Durumuna GÃ¶re HES,HES_ADI,Nira  HES,203,Nira  HES,Ã–zel(Yap Ä°ÅŸlet Devret),SKHA,FÄ±sÄ±rÄ±k D.,Point,esriGeometryPoint,41.191179414868785,40.621644717417105,4326,4326
25,Ä°ÅŸletme Durumuna GÃ¶re HES,HES_ADI,Turhan HES,703,Turhan HES,Kamu,FZB,Null,Point,esriGeometryPoint,41.22821042373241,41.16239438220807,4326,4326
25,Ä°ÅŸletme Durumuna GÃ¶re HES,HES_ADI,Yolgecen HES,1828,Yolgecen HES,Ã–zel(Yap Ä°ÅŸlet),SKHA,Yolgecen Dere,Point,esriGeometryPoint,41.29177227217579,41.298823376817545,4326,4326
25,Ä°ÅŸletme Durumuna GÃ¶re HES,HES_ADI,Yolgecen HES,857,Yolgecen HES,Kamu,FZB,Null,Point,esriGeometryPoint,41.29177567515131,41.29953884518085,4326,4326
25,Ä°ÅŸletme Durumuna GÃ¶re HES,HES_ADI,Merhas HES,1905,Merhas HES,Ã–zel(Yap Ä°ÅŸlet),Fizibilite,Barhal MembasÄ±,Point,esriGeometryPoint,41.30164363738169,40.869836599956095,4326,4326
25,Ä°ÅŸletme Durumuna GÃ¶re HES,HES_ADI,Ã‡amlÄ±ca HES,1866,Ã‡amlÄ±ca HES,Ã–zel(Yap Ä°ÅŸlet),SKHA,Orci Dere,Point,esriGeometryPoint,41.33075741698998,41.306851553036495,4326,4326
25,Ä°ÅŸletme Durumuna GÃ¶re HES,HES_ADI,Ã‡amlÄ±ca HES,696,Ã‡amlÄ±ca HES,Kamu,FZB,Null,Point,esriGeometryPoint,41.3438121307975,41.30753883054452,4326,4326
25,Ä°ÅŸletme Durumuna GÃ¶re HES,HES_ADI,Damla HES-1,1811,Damla HES-1,Ã–zel(Yap Ä°ÅŸlet),SKHA,Zamevan Ã‡.,Point,esriGeometryPoint,41.34643331194043,40.8918727997725,4326,4326
25,Ä°ÅŸletme Durumuna GÃ¶re HES,HES_ADI,Damla HES-2,1925,Damla HES-2,Ã–zel(Yap Ä°ÅŸlet),SKHA,Zamevan Ã‡.,Point,esriGeometryPoint,41.35136306007722,40.916436699216874,4326,4326
25,Ä°ÅŸletme Durumuna GÃ¶re HES,HES_ADI,TaslÄ±kaya HES,859,TaslÄ±kaya HES,Kamu,FZB,Null,Point,esriGeometryPoint,41.35365300205331,41.24728285132373,4326,4326
25,Ä°ÅŸletme Durumuna GÃ¶re HES,HES_ADI,KÄ±ÅŸla HES,1810,KÄ±ÅŸla HES,Ã–zel(Yap Ä°ÅŸlet),SKHA,KÄ±ÅŸla Dere,Point,esriGeometryPoint,41.369055458267646,40.949687932085595,4326,4326
25,Ä°ÅŸletme Durumuna GÃ¶re HES,HES_ADI,Kaletepe HES,171,Kaletepe HES,Kamu,"master plan, Ã¶ninceleme",Yellitepe D.,Point,esriGeometryPoint,41.380995053526014,40.295057984288036,4326,4326
25,Ä°ÅŸletme Durumuna GÃ¶re HES,HES_ADI,Yanarsu -2 HES,959,Yanarsu -2 HES,Ã–zel(Yap Ä°ÅŸlet),On_Basvuru,Null,Point,esriGeometryPoint,41.38556779209912,37.98399827202806,4326,4326
25,Ä°ÅŸletme Durumuna GÃ¶re HES,HES_ADI,Saka HES,860,Saka HES,Kamu,FZB,Null,Point,esriGeometryPoint,41.38945552246498,41.316961635301155,4326,4326
25,Ä°ÅŸletme Durumuna GÃ¶re HES,HES_ADI,Soguksu HES,868,Soguksu HES,Kamu,Ã–N RAPOR,Null,Point,esriGeometryPoint,41.40390128255739,41.25564018413588,4326,4326
25,Ä°ÅŸletme Durumuna GÃ¶re HES,HES_ADI,Ã–zgÃ¼ven HES,1914,Ã–zgÃ¼ven HES,Ã–zel(Yap Ä°ÅŸlet),Fizibilite,Ã–zgÃ¼ven Dere,Point,esriGeometryPoint,41.41945885171039,41.01488925853778,4326,4326
