"layerId","layerName","displayFieldName","value","attributes__OBJECTID","attributes__HES Adı","attributes__Kurum","attributes__Aşaması(seç)","attributes__Akarsu Adı","attributes__SHAPE","geometryType","geometry__x","geometry__y","geometry__spatialReference__wkid","geometry__spatialReference__latestWkid"
"25","İşletme Durumuna Göre HES","HES_ADI","Köklüce HES","469","Köklüce HES","Kamu","isletmede","Yeşilırmak","Point","esriGeometryPoint","36.926646635493782","40.4936598887938","4326","4326"
"25","İşletme Durumuna Göre HES","HES_ADI","Köyobası","1419","Köyobası","Özel(Yap İşlet Devret)","SKHA","Yaralı Dere","Point","esriGeometryPoint","36.948283667357956","38.043740185753542","4326","4326"
"25","İşletme Durumuna Göre HES","HES_ADI","Hacınınoğlu","1459","Hacınınoğlu","Özel(Yap İşlet Devret)","Insa Halinde","Ceyhan N.","Point","esriGeometryPoint","36.970471195476435","37.830024664763265","4326","4326"
"25","İşletme Durumuna Göre HES","HES_ADI","Çakmak-2 ","155","Çakmak-2","Özel(Yap İşlet)","Fizibilite","Söğütlübuynu D.","Point","esriGeometryPoint","36.973048701928001","37.858686389573364","4326","4326"
"25","İşletme Durumuna Göre HES","HES_ADI","Köprübaşı HES","468","Köprübaşı HES","Özel(Yap İşlet)","Fizibilite","Cevizdere","Point","esriGeometryPoint","37.152767141117565","40.896354938119842","4326","4326"
"25","İşletme Durumuna Göre HES","HES_ADI","Kesme  ","1448","Kesme","Özel(Yap İşlet Devret)","Insa Halinde","Aksu Ç.","Point","esriGeometryPoint","37.189692872302786","37.462326243212623","4326","4326"
"25","İşletme Durumuna Göre HES","HES_ADI","Kavşak HES","423","Kavşak HES","Özel(Yap İşlet)","Fizibilite","Bolaman","Point","esriGeometryPoint","37.451178662995133","40.872702731613614","4326","4326"
"25","İşletme Durumuna Göre HES","HES_ADI","Çukurkaya HES","369","Çukurkaya HES","Özel(Yap İşlet Devret)","Fizibilite","Tohma Ç.","Point","esriGeometryPoint","37.490439229789331","38.564347871130174","4326","4326"
"25","İşletme Durumuna Göre HES","HES_ADI","Yazıköy","338","Yazıköy","Kamu","Null","Null","Point","esriGeometryPoint","37.612306008664056","38.564590433981692","4326","4326"
"25","İşletme Durumuna Göre HES","HES_ADI","Merkez HES","284","Merkez HES","Özel(Yap İşlet Devret)","Fizibilite","Tohma Ç.","Point","esriGeometryPoint","37.82470482347248","38.50733498488615","4326","4326"
"25","İşletme Durumuna Göre HES","HES_ADI","Sincan HES","143","Sincan HES","Özel(Yap İşlet)","SKHA","Null","Point","esriGeometryPoint","37.919999992181083","39.410721074402744","4326","4326"
"25","İşletme Durumuna Göre HES","HES_ADI","Ordu HES","425","Ordu HES","Özel(Yap İşlet)","Fizibilite","Melet","Point","esriGeometryPoint","37.933866478161427","40.906497635894276","4326","4326"
"25","İşletme Durumuna Göre HES","HES_ADI","Kaleköy","1426","Kaleköy","Özel(Yap İşlet Devret)","SKHA","Göksu N., Sofraz Ç.,Değirmen Ç.","Point","esriGeometryPoint","37.946555367040858","37.621923443351029","4326","4326"
"25","İşletme Durumuna Göre HES","HES_ADI","Pınar","1418","Pınar","Özel(Yap İşlet Devret)","Isletmede","Göksu N.","Point","esriGeometryPoint","37.948419121888229","37.766269483407235","4326","4326"
"25","İşletme Durumuna Göre HES","HES_ADI","Derinçay HES","1505","Derinçay HES","Kamu","ÖN BŞV.","Null","Point","esriGeometryPoint","37.982535288866927","40.772842996907798","4326","4326"
"25","İşletme Durumuna Göre HES","HES_ADI","Gürlavik","163","Gürlavik","Özel(Yap İşlet Devret)","SKHA","Göksu N.,Şepker Ç.,Gürlavik  D.","Point","esriGeometryPoint","38.02403643225113","37.851215803317238","4326","4326"
"25","İşletme Durumuna Göre HES","HES_ADI","Merek HES","843","Merek HES","Kamu","FZB","Null","Point","esriGeometryPoint","38.118195010765788","40.628008243507885","4326","4326"
"25","İşletme Durumuna Göre HES","HES_ADI","Gelen HES","851","Gelen HES","Kamu","ÖN BAŞVURU","Null","Point","esriGeometryPoint","38.132462817871762","40.748881905701225","4326","4326"
"25","İşletme Durumuna Göre HES","HES_ADI","Tokmadin HES","668","Tokmadin HES","Özel(Yap İşlet Devret)","FZB","Pazarsuyu","Point","esriGeometryPoint","38.153666394034261","40.703826122959981","4326","4326"
"25","İşletme Durumuna Göre HES","HES_ADI","Polat HES","148","Polat HES","Özel(Yap İşlet)","SKHA","Null","Point","esriGeometryPoint","38.192195405969017","40.052096140797204","4326","4326"
"25","İşletme Durumuna Göre HES","HES_ADI","Derme HES","342","Derme HES","Kamu","isletmede","Çat Barajı","Point","esriGeometryPoint","38.279308722006711","38.260384397851858","4326","4326"
"25","İşletme Durumuna Göre HES","HES_ADI","Koçali","1473","Koçali","Kamu","master plan, öninceleme","Kahta Ç.,Terasa Ç.","Point","esriGeometryPoint","38.328165339904444","37.810577414638828","4326","4326"
"25","İşletme Durumuna Göre HES","HES_ADI","Burçak HES","1615","Burçak HES","Kamu","FZB","Null","Point","esriGeometryPoint","38.378744349584636","40.211390175737748","4326","4326"
"25","İşletme Durumuna Göre HES","HES_ADI","Kilimli HES","275","Kilimli HES","Kamu","master plan, öninceleme","Karabudak","Point","esriGeometryPoint","38.436868165858087","39.547796015880458","4326","4326"
"25","İşletme Durumuna Göre HES","HES_ADI","Karaca HES","850","Karaca HES","Kamu","ÖN BAŞVURU","Null","Point","esriGeometryPoint","38.456750780286299","40.644330781222813","4326","4326"
"25","İşletme Durumuna Göre HES","HES_ADI","Çağlayan","1496","Çağlayan","Özel(Yap İşlet Devret)","Fizibilite","Birimşe Ç.","Point","esriGeometryPoint","38.526825766310104","38.04950574760143","4326","4326"
"25","İşletme Durumuna Göre HES","HES_ADI","Ortagöze HES","198","Ortagöze HES","Kamu","master plan, öninceleme","Binasor D.","Point","esriGeometryPoint","38.628455169161256","39.972059878061152","4326","4326"
"25","İşletme Durumuna Göre HES","HES_ADI","Çiftepınar HES","223","Çiftepınar HES","Kamu","master plan, öninceleme","Darboğaz","Point","esriGeometryPoint","38.655625773572147","39.41867183805094","4326","4326"
"25","İşletme Durumuna Göre HES","HES_ADI","Gökçeköy HES","291","Gökçeköy HES","Özel(Yap İşlet Devret)","SKHA","Rabat Ç.","Point","esriGeometryPoint","38.76518325354477","39.185804268443086","4326","4326"
"25","İşletme Durumuna Göre HES","HES_ADI","Tuğra--3 HES","1535","Tuğra--3 HES","Kamu","insa halinde","Karaovacık","Point","esriGeometryPoint","38.825605540635394","40.753641605952787","4326","4326"
"25","İşletme Durumuna Göre HES","HES_ADI","Tuğra-2 HES","1534","Tuğra-2 HES","Kamu","insa halinde","Karaovacık","Point","esriGeometryPoint","38.835498542529244","40.705009639619654","4326","4326"
"25","İşletme Durumuna Göre HES","HES_ADI","Çanakçı-2 HES","748","Çanakçı-2 HES","Kamu","FZB","Null","Point","esriGeometryPoint","39.007836713425412","40.935435958473171","4326","4326"
"25","İşletme Durumuna Göre HES","HES_ADI","Karlıtepe HES","785","Karlıtepe HES","Kamu","fzb","Null","Point","esriGeometryPoint","39.013553971004512","40.50299367173664","4326","4326"
"25","İşletme Durumuna Göre HES","HES_ADI","Kartaltaşı HES","294","Kartaltaşı HES","Özel(Yap İşlet Devret)","Ön rapor","Kaman Ç.","Point","esriGeometryPoint","39.105439747954414","38.199403233329541","4326","4326"
"25","İşletme Durumuna Göre HES","HES_ADI","Büyükdüz HES","1596","Büyükdüz HES","Kamu","FZB","Null","Point","esriGeometryPoint","39.105684074245161","40.621714790538732","4326","4326"
"25","İşletme Durumuna Göre HES","HES_ADI","Miraç","1424","Miraç","Özel(Yap İşlet Devret)","Fizibilite","Yenibardak Ç.","Point","esriGeometryPoint","39.162433173741512","38.182625424999941","4326","4326"
"25","İşletme Durumuna Göre HES","HES_ADI","Çanakçı HES","755","Çanakçı HES","Kamu","Başvuru","Null","Point","esriGeometryPoint","39.342242180555594","40.953252308663274","4326","4326"
"25","İşletme Durumuna Göre HES","HES_ADI","Yaylabaşı HES","751","Yaylabaşı HES","Kamu","FZB","Null","Point","esriGeometryPoint","39.507796423482624","40.792375363763583","4326","4326"
"25","İşletme Durumuna Göre HES","HES_ADI","Söğüt HES","800","Söğüt HES","Kamu","Ön Başvuru","Null","Point","esriGeometryPoint","39.534630097473794","40.973784764204652","4326","4326"
"25","İşletme Durumuna Göre HES","HES_ADI","Sedir HES","801","Sedir HES","Kamu","Ön Başvuru","Null","Point","esriGeometryPoint","39.594557341109123","41.01081569223274","4326","4326"
"25","İşletme Durumuna Göre HES","HES_ADI","Pülümür HES","372","Pülümür HES","Kamu","planlama","Pülümür Ç.","Point","esriGeometryPoint","39.611664684411537","39.107495966889893","4326","4326"
"25","İşletme Durumuna Göre HES","HES_ADI","Yeniköy HES","1603","Yeniköy HES","Kamu","Null","Null","Point","esriGeometryPoint","39.68746643378023","40.860301979597381","4326","4326"
"25","İşletme Durumuna Göre HES","HES_ADI","Cinali HES","685","Cinali HES","Kamu","SKHA","Null","Point","esriGeometryPoint","39.690652251871818","40.836656184498615","4326","4326"
"25","İşletme Durumuna Göre HES","HES_ADI","Üzümlü HES","254","Üzümlü HES","Kamu","planlama","Üzümlü","Point","esriGeometryPoint","39.711153137079449","39.714409858910827","4326","4326"
"25","İşletme Durumuna Göre HES","HES_ADI","Haskar HES","330","Haskar HES","Özel(Yap İşlet Devret)","Fizibilite","Sal D. Pülümür Ç.","Point","esriGeometryPoint","39.785634410809159","39.363908054871615","4326","4326"
"25","İşletme Durumuna Göre HES","HES_ADI","Berrak-I HES","1539","Berrak-I HES","Özel(Yap İşlet Devret)","Insa Halinde","Yanbolu","Point","esriGeometryPoint","39.806232502991946","40.65974605092687","4326","4326"
"25","İşletme Durumuna Göre HES","HES_ADI","Kuşluk HES","705","Kuşluk HES","Kamu","Başvuru","Null","Point","esriGeometryPoint","39.88731750352175","40.605685359088376","4326","4326"
"25","İşletme Durumuna Göre HES","HES_ADI","Araklı-I HES","1540","Araklı-I HES","Özel(Yap İşlet Devret)","Insa Halinde","Horten D.","Point","esriGeometryPoint","39.994371606405238","40.683052412895954","4326","4326"
"25","İşletme Durumuna Göre HES","HES_ADI","Kralkızı HES","977","Kralkızı HES","Kamu","isletmede","Dicle N.","Point","esriGeometryPoint","40.019892209711223","38.347363857254607","4326","4326"
"25","İşletme Durumuna Göre HES","HES_ADI","Çınar HES","795","Çınar HES","Kamu","Ön Başvuru","Null","Point","esriGeometryPoint","40.168663766012173","40.572779813763816","4326","4326"
"25","İşletme Durumuna Göre HES","HES_ADI","Atm-I HES","846","Atm-I HES","Kamu","SKHA","Null","Point","esriGeometryPoint","40.20815233628489","40.608794938167648","4326","4326"
"25","İşletme Durumuna Göre HES","HES_ADI","Ilıca HES","337","Ilıca HES","Özel(Yap İşlet Devret)","Fizibilite","Küçük Çay","Point","esriGeometryPoint","40.282944447118268","39.238119803322938","4326","4326"
"25","İşletme Durumuna Göre HES","HES_ADI","Gökçe HES","317","Gökçe HES","Özel(Yap İşlet Devret)","SKHA","Gayt Barajı Savaklarından","Point","esriGeometryPoint","40.335442161833789","38.956764198533158","4326","4326"
