results/layerId,results/layerName,results/displayFieldName,results/value,results/attributes/OBJECTID,results/attributes/HES Adı,results/attributes/Kurum,results/attributes/Aşaması(seç),results/attributes/Akarsu Adı,results/attributes/SHAPE,results/geometryType,results/geometry/x,results/geometry/y,results/geometry/spatialReference/wkid,results/geometry/spatialReference/latestWkid
25,İşletme Durumuna Göre HES,HES_ADI,Anamur HES,19,Anamur HES,Kamu,isletmede,Anamur Ç.,Point,esriGeometryPoint,32.85166842976906,36.210062570557376,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Yazı,589,Yazı,Kamu,5,Yazı Ç.,Point,esriGeometryPoint,32.95134256628104,40.56737024749197,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Eren Barajı HES,919,Eren Barajı HES,Özel(Yap İşlet),Fizibilite,Filyos Ir.,Point,esriGeometryPoint,33.058150339707076,41.09990789416265,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Andıraz HES,910,Andıraz HES,Özel(Yap İşlet),Fizibilite,Filyos Ir.,Point,esriGeometryPoint,33.1364382701,41.06430223195607,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Birkapılı HES,106,Birkapılı HES,Kamu,isletmede,Pirinç Suyu,Point,esriGeometryPoint,33.44317376326698,36.72060978812654,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Kaya HES,903,Kaya HES,Özel(Yap İşlet),Fizibilite,Zarbana Ç.,Point,esriGeometryPoint,33.63918502651132,41.907017298056836,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Zerve I HES,1716,Zerve I HES,Özel(Yap İşlet),Ön rapor,Zerve Ç.,Point,esriGeometryPoint,33.88198978466016,41.92002546993563,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Obrucak HES,905,Obrucak HES,Özel(Yap İşlet),Fizibilite,Gökırmak,Point,esriGeometryPoint,34.00194146972137,41.36989382389084,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Ebru -2 HES,1486,Ebru -2 HES,Özel(Yap İşlet),Fizibilite,İlişi Ve Ezine Çayları,Point,esriGeometryPoint,34.03281377299101,41.940196015322,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Lamas-2 HES,98,Lamas-2 HES,Kamu,"master plan, öninceleme",Lamas Ç.,Point,esriGeometryPoint,34.10526662473143,36.614340209344746,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Taşçiftlik HES,1707,Taşçiftlik HES,Özel(Yap İşlet),Fizibilite,Gökırmak,Point,esriGeometryPoint,34.144359361691365,41.2942816485434,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Lamas-3 HES,45,Lamas-3 HES,Özel(Yap İşlet Devret),Insa Halinde,Lamas Ç.,Point,esriGeometryPoint,34.185411502402594,36.59219853555758,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Damlacık HES,1000,Damlacık HES,Özel(Yap İşlet),Fizibilite,Kızılırmak,Point,esriGeometryPoint,34.18638853263925,38.96542448259335,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Yunuslar -2 HES,899,Yunuslar -2 HES,Özel(Yap İşlet),Fizibilite,Çatalzeytin Ç.,Point,esriGeometryPoint,34.22249174768125,41.93705077374811,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Kuzköy HES,930,Kuzköy HES,Özel(Yap İşlet),Ön rapor,Çatalzeytin Ç.,Point,esriGeometryPoint,34.24224972329709,41.820737815373874,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Yunuslar I HES,1713,Yunuslar I HES,Özel(Yap İşlet),Fizibilite,Çatalzeytin Ç.,Point,esriGeometryPoint,34.265288708590894,41.88198884036615,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Taşköprü HES,901,Taşköprü HES,Özel(Yap İşlet),Fizibilite,Gökırmak,Point,esriGeometryPoint,34.419496895502846,41.61452510112536,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Tuzköy HES,1001,Tuzköy HES,Kamu,planlama,Kızılırmak,Point,esriGeometryPoint,34.49601748852784,38.78119395811209,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Pamuk HES,105,Pamuk HES,Özel(Yap İşlet),Isletmede,Pamukluk D.,Point,esriGeometryPoint,34.65258202703735,37.096598241009005,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Kadıncık -3 HES,87,Kadıncık -3 HES,Kamu,planlama,Kadıncık Ç.,Point,esriGeometryPoint,34.66918376308634,37.21601823580207,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Hasankale HES,1016,Hasankale HES,Özel(Yap İşlet),SKHA,Kızılırmak,Point,esriGeometryPoint,34.961149141440664,38.74681463112813,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Gerdibi HES,54,Gerdibi HES,Özel(Yap İşlet),Fizibilite,Eğni Dere,Point,esriGeometryPoint,35.15413739278742,37.553431286043015,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Büyüksofulu HES,8,Büyüksofulu HES,Özel(Yap İşlet),Fizibilite,Aksu Ç.,Point,esriGeometryPoint,35.2040417428645,37.56831423112341,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Karasu Molu HES,1019,Karasu Molu HES,Özel(Yap İşlet),Lisans,Karasu,Point,esriGeometryPoint,35.22451720008226,38.83113648836743,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Ortaca HES,14,Ortaca HES,Özel(Yap İşlet),Fizibilite,Ortaca D.,Point,esriGeometryPoint,35.29897619428577,37.6771945368457,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,İmamoğlu HES,85,İmamoğlu HES,Kamu,proje,İmamoğlu Sul. So Kanalı,Point,esriGeometryPoint,35.5675334060716,37.3515427200766,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Gıcık HES,1004,Gıcık HES,Kamu,planlama,Zamantı,Point,esriGeometryPoint,35.601512723309824,38.21638037172928,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Kozan HES,82,Kozan HES,Özel(Yap İşlet),SKHA,Seyhan N.,Point,esriGeometryPoint,35.83070127100054,37.518786649087176,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Ahmetli Regületörü Ve HES,115,Ahmetli Regületörü Ve HES,Özel(Yap İşlet),SKHA,Hacı Ahmet Ç.,Point,esriGeometryPoint,35.93994943494884,36.37382007426546,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Sızır HES,1406,Sızır HES,Özel(Yap İşlet),Isletmede,Null,Point,esriGeometryPoint,35.965531643671554,39.26567366630504,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Durucasu HES,463,Durucasu HES,Kamu,isletmede,Kozalan,Point,esriGeometryPoint,36.111386121962596,40.74442216936984,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Tahtalı HES,385,Tahtalı HES,Özel(Yap İşlet),Fizibilite,Tahta Suyu,Point,esriGeometryPoint,36.256196691720376,37.59845624475056,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Değirmendere HES,407,Değirmendere HES,Kamu,isletmede,Keşiş Dere,Point,esriGeometryPoint,36.258559343915145,37.63614920318251,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Osmaniye Karaçay HES,413,Osmaniye Karaçay HES,Kamu,isletmede,Karaçay,Point,esriGeometryPoint,36.29754301850093,37.04445787603145,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Akçakoyun HES,403,Akçakoyun HES,Özel(Yap İşlet),SKHA,Horu D.,Point,esriGeometryPoint,36.412586571078215,37.17408232772449,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Erem HES,392,Erem HES,Özel(Yap İşlet),SKHA,Sulama Kanalı,Point,esriGeometryPoint,36.44990365066921,37.277739103352516,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Kalecik HES,380,Kalecik HES,Özel(Yap İşlet),Ön rapor,Kalecik D.,Point,esriGeometryPoint,36.45794226845617,37.14829896730346,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Berke HES,398,Berke HES,Kamu,isletmede,Ceyhan N.,Point,esriGeometryPoint,36.46768501416887,37.37451434517755,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Gökgedik ,1439,Gökgedik,Özel(Yap İşlet Devret),SKHA,Körsulu,Point,esriGeometryPoint,36.58559860727345,37.61927328587252,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Suat Uğurlu HES,459,Suat Uğurlu HES,Kamu,isletmede,Yeşilırmak,Point,esriGeometryPoint,36.66949041671333,41.07647563083458,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,S4ritaş,1444,S4ritaş,Özel(Yap İşlet Devret),Fizibilite,Çermengeç Dere-Zeytinli Ç.,Point,esriGeometryPoint,36.76501531033733,37.88726370667493,4326,4326
