layerId,layerName,displayFieldName,value,attributes__OBJECTID,attributes__HES Adı,attributes__Kurum,attributes__Aşaması(seç),attributes__Akarsu Adı,attributes__SHAPE,geometryType,geometry__x,geometry__y,geometry__spatialReference__wkid,geometry__spatialReference__latestWkid
25,İşletme Durumuna Göre HES,HES_ADI,Uludere HES,327,Uludere HES,Özel(Yap İşlet Devret),Fizibilite,Ulu Dere,Point,esriGeometryPoint,40.9164393385308,39.2338516154026,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Demirkaya HES,266,Demirkaya HES,Kamu,"master plan, öninceleme",KargaÇ.rı,Point,esriGeometryPoint,41.0248023166923,40.4606456617517,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Hasansuyu HES,500,Hasansuyu HES,Özel(Yap İşlet),On_Basvuru,Null,Point,esriGeometryPoint,41.0292434732243,37.7900217351276,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Yukarı Kaleköy HES,1346,Yukarı Kaleköy HES,Kamu,2,Murat N.,Point,esriGeometryPoint,41.0348533738933,38.8235661575499,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Gültepe HES,248,Gültepe HES,Kamu,"master plan, öninceleme",Tapsur,Point,esriGeometryPoint,41.0428283627735,40.5761585248686,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Kayserı Baraji Ve HES,501,Kayserı Baraji Ve HES,Özel(Yap İşlet),On_Basvuru,Null,Point,esriGeometryPoint,41.1777831942787,38.3097689001084,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Nira  HES,203,Nira  HES,Özel(Yap İşlet Devret),SKHA,Fısırık D.,Point,esriGeometryPoint,41.1911794148688,40.6216447174171,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Turhan HES,703,Turhan HES,Kamu,FZB,Null,Point,esriGeometryPoint,41.2282104237324,41.1623943822081,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Yolgecen HES,1828,Yolgecen HES,Özel(Yap İşlet),SKHA,Yolgecen Dere,Point,esriGeometryPoint,41.2917722721758,41.2988233768176,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Yolgecen HES,857,Yolgecen HES,Kamu,FZB,Null,Point,esriGeometryPoint,41.2917756751513,41.2995388451809,4326,4326
25,İşletme Durumuna Göre HES,HES_ADI,Merhas HES,1905,Merhas HES,Özel(Yap İşlet),Fizibilite,Barhal Membası,Point,esriGeometryPoint,41.3016436373817,40.8698365999561,4326,4326
