#,Power Plant Type,COMPANY NAME,PROJECT NAME,Type ,City,Installed Capacity (MWm),Installed Capacity (MWe),Capacity Under Construction (Mwe),Service Capacity (Mwe),Longtitude,Latitude,Longtitude_!,Latitude_!,Coordinate Ref.
297,Hydropower Plant,ELEKTRİK ÜRETİM ANONİM ŞİRKETİ,Atatürk HPP,Dam,ŞANLIURFA,2405,2405,0,2405,38.31091638,37.48689462,,,
298,Hydropower Plant,ELEKTRİK ÜRETİM ANONİM ŞİRKETİ,Karakaya HPP,Dam,DİYARBAKIR,1800,1800,0,1800,32.44780833,41.19762056,,,
299,Hydropower Plant,ELEKTRİK ÜRETİM ANONİM ŞİRKETİ,Keban HPP,Dam,ELAZIĞ,1330,1330,0,1330,38.75444321,38.80948543,,,
300,Hydropower Plant,ELEKTRİK ÜRETİM ANONİM ŞİRKETİ,Altınkaya HPP,Dam,SAMSUN,702.55,702.55,0,702.55,35.73003058,41.36246836,,,
301,Hydropower Plant,ELEKTRİK ÜRETİM ANONİM ŞİRKETİ,Deriner HPP,Dam,ARTVİN,683.2,669.6,0,669.6,41.676722,41.349173,,,
302,Hydropower Plant,ETİ ALÜMİNYUM ANONİM ŞİRKETİ,Oymapınar HPP,Dam,ANTALYA,540,540,0,540,31.52769223,36.91292736,,,
303,Hydropower Plant,BOYABAT ELEKTRİK ÜRETİM VE TİCARET ANONİM ŞİRKETİ,Boyabat HPP,Dam,SAMSUN,528,513,0,513,35.00795921,41.34237359,,,
304,Hydropower Plant,ELEKTRİK ÜRETİM ANONİM ŞİRKETİ,Berke HPP,Dam,OSMANİYE,510,510,0,510,36.274452,37.269135,,,
305,Hydropower Plant,ELEKTRİK ÜRETİM ANONİM ŞİRKETİ,HASAN Uğurlu HPP,Dam,SAMSUN,500,500,0,500,36.64790278,40.93839741,,,
306,Hydropower Plant,ELEKTRİK ÜRETİM ANONİM ŞİRKETİ,Borçka HPP,Dam,ARTVİN,300.6,300.6,0.6,300,41.690025,41.343825,,,
307,Hydropower Plant,ELEKTRİK ÜRETİM ANONİM ŞİRKETİ,Sır HPP,Dam,KAHRAMANMARAŞ,283.5,283.5,0,283.5,36.59269068,37.49245344,,,
308,Hydropower Plant,ELEKTRİK ÜRETİM ANONİM ŞİRKETİ,Gökçekaya HPP,Dam,ESKİŞEHİR,278.4,278.4,0,278.4,31.01953408,40.0280339,,,
309,Hydropower Plant,LİMAK HİDROELEKTRİK SANTRAL YATIRIMLARI ANONİM ŞİRKETİ,Alkumru Barajı ve HPP,Dam,SİİRT,280.47,275.52,0,275.52,42.139821,37.963723,,,
310,Hydropower Plant,AKKÖY ENERJİ ANONİM ŞİRKETİ,Akköy 2 HPP,Dam,GİRESUN,233.6,229.6,0,229.6,38.96512708,40.73960414,,,HES
311,Hydropower Plant,ELEKTRİK ÜRETİM ANONİM ŞİRKETİ,Obruk HPP,Dam,ÇORUM,212.4,212.4,1.6,210.8,34.79043974,40.76712804,,,
312,Hydropower Plant,ENERJİSA ENERJİ ÜRETİM ANONİM ŞİRKETİ,Kandil Enerji Projesi HPP,Dam,KAHRAMANMARAŞ,211.48,207.92,0,207.92,37.02285683,37.97574592,,,
313,Hydropower Plant,ELEKTRİK ÜRETİM ANONİM ŞİRKETİ,Batman HPP,Dam,DİYARBAKIR,202.455,198.475,2.84217E-14,198.475,41.20082423,38.16208538,,,
314,Hydropower Plant,ELEKTRİK ÜRETİM ANONİM ŞİRKETİ,Karkamış HPP,Dam,GAZİANTEP,189,189,0,189,38.03094768,36.86943472,,,
315,Hydropower Plant,ELEKTRİK ÜRETİM ANONİM ŞİRKETİ,Özlüce HPP,Dam,ELAZIĞ,170,170,0,170,40.08716235,39.12687383,,,
316,Hydropower Plant,ELEKTRİK ÜRETİM ANONİM ŞİRKETİ,Çatalan HPP,Dam,ADANA,168.9,168.9,0,168.9,35.27820373,37.19540832,,,
317,Hydropower Plant,ELEKTRİK ÜRETİM ANONİM ŞİRKETİ,Alpaslan I HPP,Dam,MUŞ,167,160,0,160,41.51610511,38.98516306,,,
318,Hydropower Plant,ELEKTRİK ÜRETİM ANONİM ŞİRKETİ,Sarıyar H.P. HPP,Dam,ANKARA,160,160,0,160,31.42301293,40.04518294,,,
319,Hydropower Plant,ELEKTRİK ÜRETİM ANONİM ŞİRKETİ,Gezende HPP,Dam,MERSİN,159.375,159.375,0.005,159.37,33.27378242,36.56047048,,,
320,Hydropower Plant,ENERJİSA ENERJİ ÜRETİM ANONİM ŞİRKETİ,Köprü HPP,Dam,ADANA,158.062,155.848,0,155.848,35.61358655,37.62041147,1143160.77,4574207.822,DSİ - HES
321,Hydropower Plant,ENERJİSA ENERJİ ÜRETİM ANONİM ŞİRKETİ,Hacınınoğlu HPP,Weir,KAHRAMANMARAŞ,144.4,142.28,0,142.28,36.9704712,37.83002466,,,Google Maps
322,Hydropower Plant,ELEKTRİK ÜRETİM ANONİM ŞİRKETİ,Aslantaş HPP,Dam,OSMANİYE,138,138,0,138,36.27440529,37.27066125,,,
323,Hydropower Plant,DARENHES ELEKTRİK ÜRETİMİ ANONİM ŞİRKETİ,Tatar HPP,Dam,ELAZIĞ,131.17,128.22,0,128.22,39.8241967,38.87568896,,, DSİ 
324,Hydropower Plant,ELEKTRİK ÜRETİM ANONİM ŞİRKETİ,Hirfanlı HPP,Dam,ANKARA,128,128,0,128,33.52080164,39.27316456,,,
325,Hydropower Plant,ELEKTRİK ÜRETİM ANONİM ŞİRKETİ,Menzelet HPP,Dam,KAHRAMANMARAŞ,124,124,0,124,36.84810428,37.67398482,,,
326,Hydropower Plant,ELEKTRİK ÜRETİM ANONİM ŞİRKETİ,Kılıçkaya HPP,Dam,ARTVİN,120,120,0,120,38.19113344,40.24139989,,,
327,Hydropower Plant,ELEKTRİK ÜRETİM ANONİM ŞİRKETİ,Akköprü HPP,Dam,MUĞLA,118.6,115,0,115,28.90274213,36.89563032,,,
328,Hydropower Plant,ELEKTRİK ÜRETİM ANONİM ŞİRKETİ,Muratlı HPP,Dam,ARTVİN,117.6,115,0,115,38.49480916,40.16167844,,,
329,Hydropower Plant,YAPISAN ELEKTRİK ÜRETİM A.Ş.,Darıca HPP,Weir,ORDU,112.42,110.32,0,110.32,37.86333357,40.71565832,"1326392,45861 (Darıca I) 1327612,061 (Darıca II)","4922290,96721 (Darıca I) 4924555,945 (Darıca II)",DSİ-HES
331,Hydropower Plant,ELEKTRİK ÜRETİM ANONİM ŞİRKETİ,Dicle HPP,Dam,DİYARBAKIR,110,110,0,110,40.16767674,38.22927894,,,
332,Hydropower Plant,KLK ENERJİ ÜRETİM ANONİM ŞİRKETİ,Torul HPP,Weir,GÜMÜŞHANE,105.6,103.26,0,103.26,39.21057481,40.64361521,,,HES
333,Hydropower Plant,ENERJİSA ENERJİ ÜRETİM ANONİM ŞİRKETİ,Sarıgüzel HPP,Dam,KAHRAMANMARAŞ,104.56,102.54,0,102.54,36.97085307,37.90014709,,,
334,Hydropower Plant,GÖLTAŞ ENERJİ ELEKTRİK ÜRETİM ANONİM ŞİRKETİ,Eşen I ve II HPP,Dam,MUĞLA,103.4,102.4,0,102.4,29.32875338,36.43605328,,,DSİ
,,,,,,,,,,,,,,
335,Hydropower Plant,AKKÖY ENERJİ ANONİM ŞİRKETİ,Akköy 1 HPP,Dam,GÜMÜŞHANE,103.5,101.94,0,101.94,38.99885564,40.89137769,,,HES
336,Hydropower Plant,KAYSERİ ELEKTRİK ÜRETİM SANAYİ VE TİCARET A.Ş.,Yamula Barajı ve HPP,Dam,KAYSERİ,100,100,0,100,35.26686169,38.90199484,,,
337,Hydropower Plant,SENERJİ ENERJİ ÜRETİM ANONİM ŞİRKETİ,Güllübağ Barajı ve HPP,Dam,ERZURUM,99,96,0,96,41.04602866,40.54328698,,,
338,Hydropower Plant,ELEKTRİK ÜRETİM ANONİM ŞİRKETİ,Kralkızı HPP,Dam,DİYARBAKIR,94.5,94.5,0,94.5,40.01989221,38.34736386,,,
339,Hydropower Plant,SANKO ENERJİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,Cevizlik HPP,Weir,RİZE,92.96,91.4,0,91.4,40.49167774,40.85826641,,,HES
340,Hydropower Plant,ELEKTRİK ÜRETİM ANONİM ŞİRKETİ,Köklüce HPP,Dam,TOKAT,90,90,0,90,36.92664664,40.49365989,1248711.442,4896383.767,DSİ-HES
341,Hydropower Plant,KLK ENERJİ ÜRETİM ANONİM ŞİRKETİ,Kürtün HPP,Dam,GÜMÜŞHANE,85,85,0,85,39.14065315,40.67277301,,,
342,Hydropower Plant,ÖZBEY HİJYENİK ÜRÜNLERİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,Ermenek HPP,Dam,KARAMAN,1.26,1.12,1.12,0,33.05812523,36.57624153,,,
343,Hydropower Plant,ENERJİSA ENERJİ ÜRETİM ANONİM ŞİRKETİ,Menge Barajı ve HPP,Dam,ADANA,86.8,85,0,85,35.72497868,37.70700677,,,
344,Hydropower Plant,MOSTAR ELEKTRİK ENERJİ ÜRETİM VE İLETİŞİM TOPTAN LİMİTED ŞİRKETİ,Koçköprü Barajı ve HPP,Dam,VAN,8.8,8.392,8.392,0,43.33176127,39.12230027,,,
345,Hydropower Plant,ELEKTRİK ÜRETİM ANONİM ŞİRKETİ,Çamlıca I HPP,Dam,KAYSERİ,94.5,84,0,84,35.49378341,37.91982102,,,
347,Hydropower Plant,ÇANAKÇI HES ELEKTRİK ÜRETİM A.Ş.,Araklı Karadere Prj Erikli-Akocak Rg ve Akocak HPP,Weir,TRABZON,82.46,80.1,0,80.1,39.89881293,40.68078646,,,
349,Hydropower Plant,ALTEK ALARKO ELEKTRİK SANTRALLARI TESİS İŞLETME VE TİCARET ANONİM ŞİRKETİ,Karakuz Barajı ve HPP,Dam,ADANA,77.4,76,0,76,35.12605161,37.3642583,,, DSİ 
350,Hydropower Plant,ELEKTRİK ÜRETİM ANONİM ŞİRKETİ,Kesikköprü,Dam,ANKARA,76,76,0,76,33.41970443,39.39760337,,,
351,Hydropower Plant,KLK ENERJİ ÜRETİM ANONİM ŞİRKETİ,Doğankent HPP,Weir,GİRESUN,74.5,74.5,0,74.5,38.91257516,40.79613165,,,HES
352,Hydropower Plant,ELEKTRİK ÜRETİM ANONİM ŞİRKETİ,Kadıncık 1 HPP,Weir,MERSİN,70,70,0,70,34.66918376,37.21601824,1070509.895,4514594.319,DSİ-HES
353,Hydropower Plant,SANKO RÜZGAR ENERJİSİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,Tepekışla Barajı ve HPP,Dam,TOKAT,70.617,69.627,-1.42109E-14,69.627,36.704292,40.659025,,,
354,Hydropower Plant,AKENERJİ ELEKTRİK ÜRETİM ANONİM ŞİRKETİ (ESKİ ÜNVAN AKKUR ENERJİ ÜRETİM TİCARET SANAYİ ANONİM ŞİRKETİ),Feke II HPP,Dam,ADANA,71.4,69.34,0,69.34,35.85597728,37.73106649,,,DSİ 
355,Hydropower Plant,ELEKTRİK ÜRETİM ANONİM ŞİRKETİ,Demirköprü HPP,Weir,MANİSA,69,69,0,69,28.30405501,38.61551076,,,HES
356,Hydropower Plant,ELEKTRİK ÜRETİM ANONİM ŞİRKETİ,Suat Uğurlu HPP,Dam,SAMSUN,69,69,0,69,36.66949042,41.07647563,,,
358,Hydropower Plant,AYEN ENERJİ ANONİM ŞTİ.,Büyükdüz HPP,Weir,GÜMÜŞHANE,70.844,68.862,0,68.862,39.10568407,40.62171479,,,HES
