"results__layerId","results__layerName","results__displayFieldName","results__value","results__attributes__OBJECTID","results__attributes__HES Adı","results__attributes__Kurum","results__attributes__Aşaması(seç)","results__attributes__Akarsu Adı","results__attributes__SHAPE","results__geometryType","results__geometry__x","results__geometry__y","results__geometry__spatialReference__wkid","results__geometry__spatialReference__latestWkid","exceededTransferLimit"
"25","İşletme Durumuna Göre HES","HES_ADI","Güvez HES","1669","Güvez HES","","Null","Eşençay","Point","esriGeometryPoint","29.750224720204073","36.934250373760825","4326","4326","True"
"25","İşletme Durumuna Göre HES","HES_ADI","Dereköy HES","1044","Dereköy HES","Kamu","FZB","Alakır Ç.","Point","esriGeometryPoint","30.310818001012834","36.581695708702227","4326","4326",""
"25","İşletme Durumuna Göre HES","HES_ADI","Aksu Çayköy HES","1362","Aksu Çayköy HES","Özel(Yap İşlet Devret)","IS","Aksu Ç.","Point","esriGeometryPoint","30.715259388733248","37.797361564383472","4326","4326",""
"25","İşletme Durumuna Göre HES","HES_ADI","Beyköy HES","533","Beyköy HES","Özel(Yap İşlet)","Isletmede","Sakarya N.","Point","esriGeometryPoint","30.766717292974946","40.081267616433507","4326","4326",""
"25","İşletme Durumuna Göre HES","HES_ADI","Kovada -3 HES","1385","Kovada -3 HES","Özel(Yap İşlet)","IH","Kovada Ç.","Point","esriGeometryPoint","30.794328308683404","37.56256712460592","4326","4326",""
"25","İşletme Durumuna Göre HES","HES_ADI","Gökböğet Regülatörü Ve HES","1365","Gökböğet Regülatörü Ve HES","Özel(Yap İşlet)","PL","Gökpınar Ç.","Point","esriGeometryPoint","30.871525377196662","37.564848012697183","4326","4326",""
"25","İşletme Durumuna Göre HES","HES_ADI","Çürükiçi Regülatörü Ve HES","1370","Çürükiçi Regülatörü Ve HES","Özel(Yap İşlet)","PL","Yazılı Dere","Point","esriGeometryPoint","30.910442880170585","37.462026467353375","4326","4326",""
"25","İşletme Durumuna Göre HES","HES_ADI","Kucuk Aksu Barajı Ve HES","1032","Kucuk Aksu Barajı Ve HES","Kamu","Null","Küçükaksu Ç.","Point","esriGeometryPoint","30.957946984569496","37.157728229981622","4326","4326",""
"25","İşletme Durumuna Göre HES","HES_ADI","Muratlı","586","Muratlı","Kamu","1","Mudurnu Ç.","Point","esriGeometryPoint","31.034614909120226","40.530730349187188","4326","4326",""
"25","İşletme Durumuna Göre HES","HES_ADI","Kasımlar Barajı Ve HES","1372","Kasımlar Barajı Ve HES","Özel(Yap İşlet)","PL","Köprüçay","Point","esriGeometryPoint","31.201552379968689","37.521526093549916","4326","4326",""
"25","İşletme Durumuna Göre HES","HES_ADI","Kayın","4","Kayın","Kamu","4","Samandere","Point","esriGeometryPoint","31.258784246521735","40.687453737995739","4326","4326",""
"25","İşletme Durumuna Göre HES","HES_ADI","Manavgat","1035","Manavgat","Özel(Yap İşlet)","Null","Manavgat Ç.","Point","esriGeometryPoint","31.50927271753574","36.840500111116917","4326","4326",""
"25","İşletme Durumuna Göre HES","HES_ADI","Sinanhoca Reg Ve HES","1086","Sinanhoca Reg Ve HES","Kamu","Null","Manavgat Ç.","Point","esriGeometryPoint","31.584473505166894","36.956306572875839","4326","4326",""
"25","İşletme Durumuna Göre HES","HES_ADI","Kirazlıköprü HES","904","Kirazlıköprü HES","Özel(Yap İşlet)","Ön rapor","Null","Point","esriGeometryPoint","31.623230866250374","41.242280116126672","4326","4326",""
"25","İşletme Durumuna Göre HES","HES_ADI","Alarahan","1025","Alarahan","Kamu","Null","Alara Ç.","Point","esriGeometryPoint","31.727521766138128","36.701393615983264","4326","4326",""
"25","İşletme Durumuna Göre HES","HES_ADI","Kargı HES","524","Kargı HES","Kamu","planlama","Sakarya N.","Point","esriGeometryPoint","31.74515659913698","39.966098455758477","4326","4326",""
"25","İşletme Durumuna Göre HES","HES_ADI","Eğerci HES","920","Eğerci HES","Özel(Yap İşlet)","Fizibilite","Filyos Ir.","Point","esriGeometryPoint","31.812827221196823","41.099967379963807","4326","4326",""
"25","İşletme Durumuna Göre HES","HES_ADI","Çelebiler Reg Ve HES","1065","Çelebiler Reg Ve HES","Kamu","Null","Kargı","Point","esriGeometryPoint","31.946655828671304","36.682495317802072","4326","4326",""
"25","İşletme Durumuna Göre HES","HES_ADI","Turkuaz","617","Turkuaz","Kamu","4","Sayık D.","Point","esriGeometryPoint","32.019335207370823","40.607308731022172","4326","4326",""
"25","İşletme Durumuna Göre HES","HES_ADI","Kargi Reg Ve HES","1085","Kargi Reg Ve HES","Kamu","Null","Kargı Ç.","Point","esriGeometryPoint","32.051949610498042","36.663735352996575","4326","4326",""
"25","İşletme Durumuna Göre HES","HES_ADI","Hayat HES","1055","Hayat HES","Kamu","FZB","Alara Ç.","Point","esriGeometryPoint","32.143387626933269","36.763262683445163","4326","4326",""
"25","İşletme Durumuna Göre HES","HES_ADI","Bozkır HES","551","Bozkır HES","Kamu","planlama","Çarşamba Ç.","Point","esriGeometryPoint","32.309309472212291","37.113218938072009","4326","4326",""
"25","İşletme Durumuna Göre HES","HES_ADI","Şimşir HES","1720","Şimşir HES","Özel(Yap İşlet)","Fizibilite","Filyos Ir.","Point","esriGeometryPoint","32.366381886432301","41.20487427126475","4326","4326",""
"25","İşletme Durumuna Göre HES","HES_ADI","Aksu Sahmallar HES","1067","Aksu Sahmallar HES","Kamu","Null","Çatakdere,Akdere,Köprüdere","Point","esriGeometryPoint","32.435508904249019","36.423603464676347","4326","4326",""
"25","İşletme Durumuna Göre HES","HES_ADI","Çatacık HES","1718","Çatacık HES","Özel(Yap İşlet)","Ön rapor","Null","Point","esriGeometryPoint","32.48954660741164","40.98000082499054","4326","4326",""
"25","İşletme Durumuna Göre HES","HES_ADI","Karataş HES","1722","Karataş HES","Özel(Yap İşlet)","Fizibilite","Bartın Irmağı","Point","esriGeometryPoint","32.510372034729208","41.458217296363124","4326","4326",""
"25","İşletme Durumuna Göre HES","HES_ADI","Daran 2 HES","545","Daran 2 HES","Özel(Yap İşlet)","SKHA","Ermenek Ç.","Point","esriGeometryPoint","32.679486148762777","36.567112773971651","4326","4326",""
"25","İşletme Durumuna Göre HES","HES_ADI","Yalman -2 HES","563","Yalman -2 HES","Özel(Yap İşlet)","Fizibilite","Kışla D.","Point","esriGeometryPoint","32.764889337182588","36.723085643303754","4326","4326",""
"25","İşletme Durumuna Göre HES","HES_ADI","Yazılı HES","37","Yazılı HES","Özel(Yap İşlet)","Fizibilite","Yazılı Dere","Point","esriGeometryPoint","32.775942871196072","36.304039624418415","4326","4326",""
"25","İşletme Durumuna Göre HES","HES_ADI","Otluca -2 HES","90","Otluca -2 HES","Kamu","planlama","Sugözü Dere","Point","esriGeometryPoint","32.826159373858893","36.22530374288889","4326","4326",""
"25","İşletme Durumuna Göre HES","HES_ADI","Tahtalı HES","556","Tahtalı HES","Özel(Yap İşlet)","Fizibilite","Kamışlı D.","Point","esriGeometryPoint","32.828576321823867","37.051164361484474","4326","4326",""
"25","İşletme Durumuna Göre HES","HES_ADI","Anamur HES","19","Anamur HES","Kamu","isletmede","Anamur Ç.","Point","esriGeometryPoint","32.851668429769063","36.210062570557376","4326","4326",""
"25","İşletme Durumuna Göre HES","HES_ADI","Yazı","589","Yazı","Kamu","5","Yazı Ç.","Point","esriGeometryPoint","32.951342566281042","40.567370247491972","4326","4326",""
"25","İşletme Durumuna Göre HES","HES_ADI","Eren Barajı HES","919","Eren Barajı HES","Özel(Yap İşlet)","Fizibilite","Filyos Ir.","Point","esriGeometryPoint","33.058150339707076","41.099907894162648","4326","4326",""
"25","İşletme Durumuna Göre HES","HES_ADI","Andıraz HES","910","Andıraz HES","Özel(Yap İşlet)","Fizibilite","Filyos Ir.","Point","esriGeometryPoint","33.136438270100001","41.06430223195607","4326","4326",""
