#,Power Plant Type,COMPANY NAME,PROJECT NAME,Type ,City,Installed Capacity (MWm),Installed Capacity (MWe),Capacity Under Construction (Mwe),Service Capacity (Mwe),Longtitude,Latitude,Longtitude,Latitude,Coordinate Ref.
297,Hydropower Plant,ELEKTRİK ÜRETİM ANONİM ŞİRKETİ,Atatürk HPP,Dam,ŞANLIURFA,2405,2405,0,2405,38.30 °N, 38.39 °E ,,,
298,Hydropower Plant,ELEKTRİK ÜRETİM ANONİM ŞİRKETİ,Karakaya HPP,Dam,DİYARBAKIR,1800,1800,0,1800,38.29 °N,38.28 °E,,,
299,Hydropower Plant,ELEKTRİK ÜRETİM ANONİM ŞİRKETİ,Keban HPP,Dam,ELAZIĞ,1330,1330,0,1330,38.48 °N,38.45 °E,,,
300,Hydropower Plant,ELEKTRİK ÜRETİM ANONİM ŞİRKETİ,Altınkaya HPP,Dam,SAMSUN,702.55,702.55,0,702.55,41.21 °N,35.43 °E,,,
301,Hydropower Plant,ELEKTRİK ÜRETİM ANONİM ŞİRKETİ,Deriner HPP,Dam,ARTVİN,683.2,669.6,0,669.6,41.10 °N,41.52 °E,,,
302,Hydropower Plant,ETİ ALÜMİNYUM ANONİM ŞİRKETİ,Oymapınar HPP,Dam,ANTALYA,540,540,0,540,36.54 °N,31.31 °E,,,
303,Hydropower Plant,BOYABAT ELEKTRİK ÜRETİM VE TİCARET ANONİM ŞİRKETİ,Boyabat HPP,Dam,SAMSUN,528,513,0,513,41.20 °N,35.00 °E,,,
304,Hydropower Plant,ELEKTRİK ÜRETİM ANONİM ŞİRKETİ,Berke HPP,Dam,OSMANİYE,510,510,0,510,37.16 °N,36.16 °E,,,
305,Hydropower Plant,ELEKTRİK ÜRETİM ANONİM ŞİRKETİ,HASAN Uğurlu HPP,Dam,SAMSUN,500,500,0,500,40.56 °N,36.38 °E,,,
306,Hydropower Plant,ELEKTRİK ÜRETİM ANONİM ŞİRKETİ,Borçka HPP,Dam,ARTVİN,300.6,300.6,0.600000000000023,300,41.41 °N,41.41 °E,,,
307,Hydropower Plant,ELEKTRİK ÜRETİM ANONİM ŞİRKETİ,Sır HPP,Dam,KAHRAMANMARAŞ,283.5,283.5,0,283.5,36.35 °N,36.35 °E,,,
308,Hydropower Plant,ELEKTRİK ÜRETİM ANONİM ŞİRKETİ,Gökçekaya HPP,Dam,ESKİŞEHİR,278.4,278.4,0,278.4,31.00 °N,31.00 °E,,,
309,Hydropower Plant,LİMAK HİDROELEKTRİK SANTRAL YATIRIMLARI ANONİM ŞİRKETİ,Alkumru Barajı ve HPP,Dam,SİİRT,280.47,275.52,0,275.52,42.06 °N,42.06 °E,,,
310,Hydropower Plant,AKKÖY ENERJİ ANONİM ŞİRKETİ,Akköy 2 HPP,Dam,GİRESUN,233.6,229.6,0,229.6,1419169.45557,4931699.3379,,,HES
311,Hydropower Plant,ELEKTRİK ÜRETİM ANONİM ŞİRKETİ,Obruk HPP,Dam,ÇORUM,212.4,212.4,1.59999999999999,210.8,34.47 °N,40.46 °E,,,
312,Hydropower Plant,ENERJİSA ENERJİ ÜRETİM ANONİM ŞİRKETİ,Kandil Enerji Projesi HPP,Dam,KAHRAMANMARAŞ,211.48,207.92,0,207.92,37.07 °N,38.01 °E,,,
313,Hydropower Plant,ELEKTRİK ÜRETİM ANONİM ŞİRKETİ,Batman HPP,Dam,DİYARBAKIR,202.455,198.475,2.8421709430404E-14,198.475,41.12 °N,38.10 °E,,,
314,Hydropower Plant,ELEKTRİK ÜRETİM ANONİM ŞİRKETİ,Karkamış HPP,Dam,GAZİANTEP,189,189,0,189,38.02 °N,36.53 °E,,,
315,Hydropower Plant,ELEKTRİK ÜRETİM ANONİM ŞİRKETİ,Özlüce HPP,Dam,ELAZIĞ,170,170,0,170,40.05 °N,39.08 °E,,,
316,Hydropower Plant,ELEKTRİK ÜRETİM ANONİM ŞİRKETİ,Çatalan HPP,Dam,ADANA,168.9,168.9,0,168.9,35.17 °N,37.12 °E,,,
317,Hydropower Plant,ELEKTRİK ÜRETİM ANONİM ŞİRKETİ,Alpaslan I HPP,Dam,MUŞ,167,160,0,160,41.49 °N,39.02 °E,,,
318,Hydropower Plant,ELEKTRİK ÜRETİM ANONİM ŞİRKETİ,Sarıyar H.P. HPP,Dam,ANKARA,160,160,0,160,40.02 °N,31.24 °E,,,
319,Hydropower Plant,ELEKTRİK ÜRETİM ANONİM ŞİRKETİ,Gezende HPP,Dam,MERSİN,159.375,159.375,0.004999999999995,159.37,36.31 °N,33.11 °E,,,
320,Hydropower Plant,ENERJİSA ENERJİ ÜRETİM ANONİM ŞİRKETİ,Köprü HPP,Dam,ADANA,158.062,155.848,0,155.848,1142896.85906,4573811.17978,1143160.76974,4574207.82218,DSİ - HES
321,Hydropower Plant,ENERJİSA ENERJİ ÜRETİM ANONİM ŞİRKETİ,Hacınınoğlu HPP,Weir,KAHRAMANMARAŞ,144.4,142.28,0,142.28,"37°49'42.1""N","36°58'14.2""E",,,Google Maps
322,Hydropower Plant,ELEKTRİK ÜRETİM ANONİM ŞİRKETİ,Aslantaş HPP,Dam,OSMANİYE,138,138,0,138,37.16 °N,36.16 °E,,,
323,Hydropower Plant,DARENHES ELEKTRİK ÜRETİMİ ANONİM ŞİRKETİ,Tatar HPP,Dam,ELAZIĞ,131.17,128.22,0,128.22,1505783.64059,4729884.91239,,, DSİ 
324,Hydropower Plant,ELEKTRİK ÜRETİM ANONİM ŞİRKETİ,Hirfanlı HPP,Dam,ANKARA,128,128,0,128,39.16 °N,33.31 °E,,,
325,Hydropower Plant,ELEKTRİK ÜRETİM ANONİM ŞİRKETİ,Menzelet HPP,Dam,KAHRAMANMARAŞ,124,124,0,124,37.40 °N,36.51 °E,,,
326,Hydropower Plant,ELEKTRİK ÜRETİM ANONİM ŞİRKETİ,Kılıçkaya HPP,Dam,ARTVİN,120,120,0,120,40.14 °N,38.11 °E,,,
327,Hydropower Plant,ELEKTRİK ÜRETİM ANONİM ŞİRKETİ,Akköprü HPP,Dam,MUĞLA,118.6,115,0,115,36.53 °N,28.54 °E,,,
328,Hydropower Plant,ELEKTRİK ÜRETİM ANONİM ŞİRKETİ,Muratlı HPP,Dam,ARTVİN,117.6,115,0,115,41.27 °N,41.42 °E,,,
329,Hydropower Plant,YAPISAN ELEKTRİK ÜRETİM A.Ş.,Darıca HPP,Weir,ORDU,112.42,110.32,0,110.32,"1326182,22121 (Darıca I) 1326352,399 (Darıca II)","4923944,59136 (Darıca I) 4924247,186 (Darıca II)","1326392,45861 (Darıca I) 1327612,061 (Darıca II)","4922290,96721 (Darıca I) 4924555,945 (Darıca II)",DSİ-HES
330,Hydropower Plant,BAĞCI BALIK GIDA VE ENERJİ ÜRETİMİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,Muğla HPP,Weir,MUĞLA,0.34,0.34,0.34,0,,,,,
331,Hydropower Plant,ELEKTRİK ÜRETİM ANONİM ŞİRKETİ,Dicle HPP,Dam,DİYARBAKIR,110,110,0,110,38.14 °N,40.10 °E,,,
332,Hydropower Plant,KLK ENERJİ ÜRETİM ANONİM ŞİRKETİ,Torul HPP,Weir,GÜMÜŞHANE,105.6,103.26,0,103.26,1440512.51965,4922290.96721,,,HES
