#,Power Plant Type,COMPANY NAME,PROJECT NAME,Type ,City,Installed Capacity (MWm),Installed Capacity (MWe),Capacity Under Construction (Mwe),Service Capacity (Mwe),Longtitude,Latitude,Longtitude_old,Latitude_old,Coordinate Ref.
391,Hydropower Plant,BOYDAK ENERJİ ÜRETİM VE TİCARET A.Ş.,Umut Reg. Ve HPP,Weir,ORDU,44.144,42.25,0,42.25,37.066686 ,40.701361 ,,,
502,Hydropower Plant,ANADOLU ELEKTRİK ÜRETİM TİCARET SANAYİ ANONİM ŞİRKETİ,Çakırlar HPP,,ARTVİN,16.488,16.206,0,16.206,41.546173,41.202243,,,
473,Hydropower Plant,ATABEY ENERJİ ÜRETİM SANAYİ VE TİCARET ANONİM ŞİRKETİ,Uzundere II HPP,Weir,RİZE,20.502,19.687,0,19.687,40.924312,40.77195,,,
472,Hydropower Plant,ADV ELEKTRİK ÜRETİM LİMİTED ŞİRKETİ,Fındık Reg. ve HPP,Weir,TRABZON,20.272,19.75,0,19.75,40.698112,39.14772,,,
518,Hydropower Plant,YEŞİLIRMAK ELEKTRİK ENERJİ ÜRETİM ANONİM ŞİRKETİ,Yeşilırmak I Reg. ve HPP,,TOKAT,14.69,14.25,0,14.25,40.286033,37.406902,,,
474,Hydropower Plant,TEMMUZ ELEKTRİK ÜRETİM LİMİTED ŞİRKETİ,Onur Reg. ve HPP,Weir,TOKAT,20.82,19.568,0,19.568,40.493782,37.263222,,,
425,Hydropower Plant,MEM ENERJİ ELEKTRİK ÜRETİM SANAYİ VE TİCARET ANONİM ŞİRKETİ,Gökkaya Barajı ve HPP,Dam,Adana,29.46,28.54,0,28.54,37.888116,35.998077,,,
386,Hydropower Plant,BAREN ENERJİ ÜRETİM SANAYİ VE TİCARET LİMİTED ŞİRKETİ,Kirazlık Reg. ve HPP,Weir,SİİRT,47.91,46.111,0,46.111,37.92305556,42.06055556,,,Google Maps
504,Hydropower Plant,İLK ELEKTRİK ENERJİ ÜRETİMİ SANAYİ TİCARET ANONİM ŞİRKETİ,Ayancık HPP,,SİNOP,17.58,15.6,0,15.6,34.57587561655,41.9070413275103,,,DSİ
367,Hydropower Plant,ELEKTRİK ÜRETİM ANONİM ŞİRKETİ,Derbent HPP,Dam,SAMSUN,56.4,56.4,0,56.4,35.8390930275426,41.4633113511966,,,
478,Hydropower Plant,ATİ İNŞAAT ENERJİ ÜRETİM VE TİCARET LİMİTED ŞİRKETİ,Diyoban HPP,Weir,ARTVİN,19.63,19.04,0,19.04,42.2453993597416,41.4212767779815,,,DSİ
438,Hydropower Plant,ELİTE ELEKTRİK ÜRETİMİ VE ELEKTRONİK MAKİNE SANAYİ TİCARET LİMİTED ŞİRKETİ,Papart Regülatörü ve HPP,Weir,ARTVİN,27.85,26.6,0,26.6,42.2838259733845,41.3945850796949,,,DSİ
300,Hydropower Plant,ELEKTRİK ÜRETİM ANONİM ŞİRKETİ,Altınkaya HPP,Dam,SAMSUN,702.55,702.55,0,702.55,35.7300305796879,41.3624683591309,,,
301,Hydropower Plant,ELEKTRİK ÜRETİM ANONİM ŞİRKETİ,Deriner HPP,Dam,ARTVİN,683.2,669.6,0,669.6,41.676722,41.349173,,,
306,Hydropower Plant,ELEKTRİK ÜRETİM ANONİM ŞİRKETİ,Borçka HPP,Dam,ARTVİN,300.6,300.6,0.600000000000023,300,41.690025,41.343825,,,
303,Hydropower Plant,BOYABAT ELEKTRİK ÜRETİM VE TİCARET ANONİM ŞİRKETİ,Boyabat HPP,Dam,SAMSUN,528,513,0,513,35.0079592097303,41.3423735885567,,,
459,Hydropower Plant,BOYDAK ENERJİ ÜRETİM VE TİCARET A.Ş.,Erenköy Reg. Ve HPP,Weir,ARTVİN,23.196,22.5,0,22.5,41.6238600921227,41.3087341821543,,,Google Maps
408,Hydropower Plant,AKSU MADENCİLİK SANAYİ VE ELEKTRİK ÜRETİM TİCARET ANONİM ŞİRKETİ,Tefen HPP,Weir,KARABÜK,36.75,33,0,33,32.1440815718199,41.2938738761842,845375.534007,4981209.30172,DSİ -HES
449,Hydropower Plant,ETİ BAKIR ANONİM ŞİRKETİ,Murgul HPP,Weir,ARTVİN,24.7,24.2,0,24.2,41.5608713846687,41.2740433349681,1634315.04041,5009894.99673,DSİ-HES
552,Hydropower Plant,CANSU ELEKTRİK ÜRETİM ANONİM ŞİRKETİ,Cansu HPP,,ARTVİN,11.34,11,0,11,41.5479944446211,41.2357620787634,,,DSİ
398,Hydropower Plant,AYEN ENERJİ ANONİM ŞTİ.,Paşalar HPP,Weir,RİZE,41.5,40,0,40,41.32073342,41.21122987,,,HES
298,Hydropower Plant,ELEKTRİK ÜRETİM ANONİM ŞİRKETİ,Karakaya HPP,Dam,DİYARBAKIR,1800,1800,0,1800,32.4478083342465,41.1976205648268,,,
508,Hydropower Plant,ARTIDEĞER ENERJİ MÜH.KİM.MEDİ.VE GIDA MAD.SAN.TİC.AŞ.,Tokat-Suçatı I-II Reg. ve HPP,,TOKAT,14.97,14.493,14.493,0,32.4832055611178,41.1648017207891,,,DSİ
538,Hydropower Plant,REŞADİYE HAMZALI ELEKTRİK ÜRETİM SANAYİ VE TİCARET ANONİM ŞİRKETİ,Aralık HPP,,ARTVİN,12.9,12.41,0,12.41,31.4458204783649,41.1379342644918,,,HES
356,Hydropower Plant,ELEKTRİK ÜRETİM ANONİM ŞİRKETİ,Suat Uğurlu HPP,Dam,SAMSUN,69,69,0,69,36.66949042,41.07647563,,,
525,Hydropower Plant,MERTLER ENERJİ ÜRETİM PAZARLAMA ANONİM ŞİRKETİ,Saray HPP,,RİZE,15.45,13.5,0,13.5,40.35141,40.991301,,,
553,Hydropower Plant,GÜRSU TEMİZ ENERJİ ÜRETİM ANONİM ŞİRKETİ,Arca HPP,,TRABZON,17.58,16.35,16.35,0,40.936376,40.976209,,,
418,Hydropower Plant,ADACAMİ ENERJİ EL. ÜR. SANAYİ VE TİCARET ANONİM ŞİRKETİ,Adacami HPP,Weir,RİZE,29.902,29.304,0,29.304,40.6113562,40.97177452,,,HES
305,Hydropower Plant,ELEKTRİK ÜRETİM ANONİM ŞİRKETİ,HASAN Uğurlu HPP,Dam,SAMSUN,500,500,0,500,36.647902781926,40.9383974050369,,,
392,Hydropower Plant,MELET ENERJİ ELEKTRİK ÜRETİM VE TİCARET ANONİM ŞİRKETİ,Ordu HPP,Weir,ORDU,43.04,42,0,42,37.9338664781614,40.9064976358942,1331619.33145,4947467.07219,DSİ-HES
506,Hydropower Plant,ZORLU DOĞAL ELEKTRİK ÜRETİMİ A.Ş.,Çıldır Regülatörü ve HPP,,KARS,15.36,15.36,0,15.36,43.3271022731741,40.9021614435195,"1785205,8376 (Çıldır II)","4978154,23254 (Çıldır II)",HES
395,Hydropower Plant,SANKO ENERJİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,Yokuşlu Kalkandere HPP,Weir,RİZE,41.19,40.24,0,40.24,40.44471963,40.89822443,,,HES
515,Hydropower Plant,ARSAN HİDROELEKTRİK ÜRETİM A.Ş.,Köprübaşı Reg. Ve HPP,,GÜMÜŞHANE,15.5,14.66,0,14.66,37.1527671411175,40.8963549381198,,,DSİ
562,Hydropower Plant,MARTI ELEKTRİK ÜRETİM ANONİM ŞİRKETİ,Çay Reg. Ve HPP,,GİRESUN,10.439,10.049,0,10.049,38.7848499227759,40.8915399028227,,,DSİ
335,Hydropower Plant,AKKÖY ENERJİ ANONİM ŞİRKETİ,Akköy 1 HPP,Dam,GÜMÜŞHANE,103.5,101.94,0,101.94,38.9988556355193,40.8913776886999,,,HES
483,Hydropower Plant,DERYA ELEKTRİK ÜRETİM VE TİCARET ANONİM ŞİRKETİ,Pirinçli Reg. ve HPP,,ÇORUM,19.51,18.68,0,18.68,34.851379,40.890677,,,
501,Hydropower Plant,DARBOĞAZ ELEKTRİK ÜRETİM SANAYİ VE TİCARET LİMİTED ŞİRKETİ,Alabalık Reg. ve HPP,,ERZURUM,16.8,16.32,0,16.32,42.247925,40.880295,,,
339,Hydropower Plant,SANKO ENERJİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,Cevizlik HPP,Weir,RİZE,92.96,91.4,0,91.4,40.4916777433851,40.8582664087792,,,HES
527,Hydropower Plant,SİİRT AKKÖY ENERJİ ÜRETİM ANONİM ŞİRKETİ,Akköy-Espiye Regülatörü ve HPP,,GİRESUN,14.07,13.368,0,13.368,38.634109,40.855371,,,
361,Hydropower Plant,İDİL İKİ ENERJİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,Kozbükü HPP,Weir,ORDU,67.761,62.34,0,62.34,37.8247843970392,40.8340210893876,,,DSİ
442,Hydropower Plant,REDAŞ ELEKTRİK ÜRETİM DAĞITIM PAZARLAMA SANAYİ VE TİCARET ANONİM ŞİRKETİ,Çaykara Reg. ve HPP,Weir,TRABZON,27,25.92,0,25.92,40.2709330198582,40.8159536623289,,,HES
351,Hydropower Plant,KLK ENERJİ ÜRETİM ANONİM ŞİRKETİ,Doğankent HPP,Weir,GİRESUN,74.5,74.5,0,74.5,38.9125751594614,40.7961316502366,,,HES
406,Hydropower Plant,SANKO RÜZGAR ENERJİSİ SANAYİ VE TİCARET ANONİM ŞİRKETİ,Koçlu HPP,Weir,GİRESUN,36.7,35.6,0,35.6,38.6529570117226,40.7945930200477,,,HES
